Country;TotalCases;NewCases;TotalDeaths;NewDeaths;TotalRecovered;ActiveCases;last_updated
China;80881;21;3226;13;68715;8940;2020-03-17T14:06:00Z
Italy;27980;NA;2158;NA;2749;23073;2020-03-17T14:06:00Z
Iran;16169;NA;988;135;5389;9792;2020-03-17T14:06:00Z
Spain;11409;NA;499;157;1028;9882;2020-03-17T14:06:00Z
S. Korea;8320;84;81;6;1401;6838;2020-03-17T14:06:00Z
Germany;7974;702;20;3;67;7887;2020-03-17T14:06:00Z
France;6633;NA;148;NA;12;6473;2020-03-17T14:06:00Z
USA;4748;85;93;7;74;4581;2020-03-17T14:06:00Z
Switzerland;2672;319;21;2;4;2647;2020-03-17T14:06:00Z
Netherlands;1705;292;43;19;2;1660;2020-03-17T14:06:00Z
UK;1543;NA;55;NA;52;1436;2020-03-17T14:06:00Z
Norway;1423;75;3;NA;1;1419;2020-03-17T14:06:00Z
Belgium;1243;185;10;NA;14;1219;2020-03-17T14:06:00Z
Austria;1211;193;4;1;8;1199;2020-03-17T14:06:00Z
Sweden;1175;54;7;NA;1;1167;2020-03-17T14:06:00Z
Denmark;960;46;4;NA;1;955;2020-03-17T14:06:00Z
Japan;876;43;28;NA;144;704;2020-03-17T14:06:00Z
Diamond Princess;696;NA;7;NA;456;233;2020-03-17T14:06:00Z
Malaysia;673;107;2;2;49;622;2020-03-17T14:06:00Z
Australia;452;51;5;NA;27;420;2020-03-17T14:06:00Z
Portugal;448;117;1;NA;3;444;2020-03-17T14:06:00Z
Canada;441;NA;4;NA;11;426;2020-03-17T14:06:00Z
Qatar;439;NA;NA;NA;4;435;2020-03-17T14:06:00Z
Czechia;396;52;NA;NA;3;393;2020-03-17T14:06:00Z
Greece;352;NA;4;NA;10;338;2020-03-17T14:06:00Z
Israel;324;26;NA;NA;11;313;2020-03-17T14:06:00Z
Finland;322;44;NA;NA;10;312;2020-03-17T14:06:00Z
Brazil;301;67;1;1;2;298;2020-03-17T14:06:00Z
Slovenia;273;20;1;NA;NA;272;2020-03-17T14:06:00Z
Singapore;266;23;NA;NA;114;152;2020-03-17T14:06:00Z
Bahrain;237;9;1;NA;81;155;2020-03-17T14:06:00Z
Estonia;225;20;NA;NA;1;224;2020-03-17T14:06:00Z
Ireland;223;NA;2;NA;5;216;2020-03-17T14:06:00Z
Poland;221;44;5;1;NA;216;2020-03-17T14:06:00Z
Iceland;220;21;NA;NA;5;215;2020-03-17T14:06:00Z
Pakistan;212;28;1;NA;2;209;2020-03-17T14:06:00Z
Philippines;187;45;12;NA;5;170;2020-03-17T14:06:00Z
Romania;184;16;NA;NA;16;168;2020-03-17T14:06:00Z
Chile;181;25;NA;NA;NA;181;2020-03-17T14:06:00Z
Thailand;177;30;1;NA;41;135;2020-03-17T14:06:00Z
Indonesia;172;38;5;NA;8;159;2020-03-17T14:06:00Z
Egypt;169;3;4;NA;32;133;2020-03-17T14:06:00Z
Hong Kong;162;7;4;NA;81;77;2020-03-17T14:06:00Z
Iraq;154;21;11;1;41;102;2020-03-17T14:06:00Z
Luxembourg;140;59;1;NA;NA;139;2020-03-17T14:06:00Z
India;137;8;3;1;14;120;2020-03-17T14:06:00Z
Saudi Arabia;133;NA;NA;NA;6;127;2020-03-17T14:06:00Z
Kuwait;130;7;NA;NA;12;118;2020-03-17T14:06:00Z
Lebanon;120;11;3;NA;3;114;2020-03-17T14:06:00Z
Peru;117;31;NA;NA;1;116;2020-03-17T14:06:00Z
Russia;114;21;NA;NA;8;106;2020-03-17T14:06:00Z
San Marino;102;NA;9;2;4;89;2020-03-17T14:06:00Z
UAE;98;NA;NA;NA;26;72;2020-03-17T14:06:00Z
Slovakia;84;12;NA;NA;NA;84;2020-03-17T14:06:00Z
Mexico;82;29;NA;NA;4;78;2020-03-17T14:06:00Z
Taiwan;77;10;1;NA;20;56;2020-03-17T14:06:00Z
Panama;69;NA;1;NA;NA;68;2020-03-17T14:06:00Z
Argentina;68;3;2;NA;3;63;2020-03-17T14:06:00Z
Bulgaria;67;5;2;NA;NA;65;2020-03-17T14:06:00Z
Vietnam;66;5;NA;NA;16;50;2020-03-17T14:06:00Z
Croatia;65;8;NA;NA;4;61;2020-03-17T14:06:00Z
Colombia;65;11;NA;NA;1;64;2020-03-17T14:06:00Z
Serbia;65;8;NA;NA;1;64;2020-03-17T14:06:00Z
Armenia;64;12;NA;NA;1;63;2020-03-17T14:06:00Z
South Africa;62;NA;NA;NA;NA;62;2020-03-17T14:06:00Z
Algeria;60;NA;5;1;10;45;2020-03-17T14:06:00Z
Latvia;60;26;NA;NA;1;59;2020-03-17T14:06:00Z
Ecuador;58;NA;2;NA;NA;56;2020-03-17T14:06:00Z
Brunei;56;2;NA;NA;NA;56;2020-03-17T14:06:00Z
Albania;55;4;1;NA;NA;54;2020-03-17T14:06:00Z
Hungary;50;11;1;NA;2;47;2020-03-17T14:06:00Z
Faeroe Islands;47;29;NA;NA;NA;47;2020-03-17T14:06:00Z
Turkey;47;NA;NA;NA;NA;47;2020-03-17T14:06:00Z
Cyprus;46;NA;NA;NA;NA;46;2020-03-17T14:06:00Z
Costa Rica;41;NA;NA;NA;NA;41;2020-03-17T14:06:00Z
Palestine;41;2;NA;NA;NA;41;2020-03-17T14:06:00Z
Morocco;38;1;2;1;1;35;2020-03-17T14:06:00Z
Malta;38;8;NA;NA;2;36;2020-03-17T14:06:00Z
Belarus;36;NA;NA;NA;3;33;2020-03-17T14:06:00Z
Jordan;35;6;NA;NA;1;34;2020-03-17T14:06:00Z
Sri Lanka;35;7;NA;NA;1;34;2020-03-17T14:06:00Z
Georgia;34;1;NA;NA;1;33;2020-03-17T14:06:00Z
Kazakhstan;33;23;NA;NA;NA;33;2020-03-17T14:06:00Z
Venezuela;33;16;NA;NA;NA;33;2020-03-17T14:06:00Z
Moldova;30;1;NA;NA;1;29;2020-03-17T14:06:00Z
Uruguay;29;NA;NA;NA;NA;29;2020-03-17T14:06:00Z
Azerbaijan;28;3;1;NA;6;21;2020-03-17T14:06:00Z
Senegal;27;NA;NA;NA;2;25;2020-03-17T14:06:00Z
Bosnia and Herzegovina;27;2;NA;NA;2;25;2020-03-17T14:06:00Z
North Macedonia;26;2;NA;NA;1;25;2020-03-17T14:06:00Z
Cambodia;24;12;NA;NA;1;23;2020-03-17T14:06:00Z
Oman;24;NA;NA;NA;12;12;2020-03-17T14:06:00Z
Tunisia;24;NA;NA;NA;1;23;2020-03-17T14:06:00Z
Afghanistan;22;1;NA;NA;1;21;2020-03-17T14:06:00Z
Dominican Republic;21;NA;1;NA;NA;20;2020-03-17T14:06:00Z
Lithuania;21;3;NA;NA;1;20;2020-03-17T14:06:00Z
Andorra;16;2;NA;NA;1;15;2020-03-17T14:06:00Z
Martinique;15;NA;1;NA;NA;14;2020-03-17T14:06:00Z
Burkina Faso;15;NA;NA;NA;NA;15;2020-03-17T14:06:00Z
Macao;13;1;NA;NA;10;3;2020-03-17T14:06:00Z
Maldives;13;NA;NA;NA;NA;13;2020-03-17T14:06:00Z
New Zealand;12;4;NA;NA;NA;12;2020-03-17T14:06:00Z
Jamaica;12;NA;NA;NA;2;10;2020-03-17T14:06:00Z
Bolivia;11;NA;NA;NA;NA;11;2020-03-17T14:06:00Z
French Guiana;11;NA;NA;NA;NA;11;2020-03-17T14:06:00Z
Uzbekistan;11;3;NA;NA;NA;11;2020-03-17T14:06:00Z
Bangladesh;10;2;NA;NA;3;7;2020-03-17T14:06:00Z
Cameroon;10;5;NA;NA;NA;10;2020-03-17T14:06:00Z
Monaco;9;NA;NA;NA;NA;9;2020-03-17T14:06:00Z
Paraguay;9;1;NA;NA;NA;9;2020-03-17T14:06:00Z
Réunion;9;NA;NA;NA;NA;9;2020-03-17T14:06:00Z
Guatemala;8;NA;1;NA;NA;7;2020-03-17T14:06:00Z
Honduras;8;2;NA;NA;NA;8;2020-03-17T14:06:00Z
Guyana;7;NA;1;NA;NA;6;2020-03-17T14:06:00Z
Ukraine;7;NA;1;NA;NA;6;2020-03-17T14:06:00Z
Liechtenstein;7;NA;NA;NA;NA;7;2020-03-17T14:06:00Z
Rwanda;7;NA;NA;NA;NA;7;2020-03-17T14:06:00Z
Channel Islands;6;NA;NA;NA;NA;6;2020-03-17T14:06:00Z
Ghana;6;NA;NA;NA;NA;6;2020-03-17T14:06:00Z
Guadeloupe;6;NA;NA;NA;NA;6;2020-03-17T14:06:00Z
Cuba;5;1;NA;NA;NA;5;2020-03-17T14:06:00Z
Ethiopia;5;NA;NA;NA;NA;5;2020-03-17T14:06:00Z
Guam;5;2;NA;NA;NA;5;2020-03-17T14:06:00Z
Mongolia;5;1;NA;NA;NA;5;2020-03-17T14:06:00Z
Puerto Rico;5;NA;NA;NA;NA;5;2020-03-17T14:06:00Z
Trinidad and Tobago;5;1;NA;NA;NA;5;2020-03-17T14:06:00Z
Ivory Coast;4;NA;NA;NA;NA;4;2020-03-17T14:06:00Z
Kenya;4;1;NA;NA;NA;4;2020-03-17T14:06:00Z
Seychelles;4;1;NA;NA;NA;4;2020-03-17T14:06:00Z
Nigeria;3;1;NA;NA;1;2;2020-03-17T14:06:00Z
Aruba;3;1;NA;NA;NA;3;2020-03-17T14:06:00Z
Curaçao;3;1;NA;NA;NA;3;2020-03-17T14:06:00Z
DRC;3;NA;NA;NA;NA;3;2020-03-17T14:06:00Z
French Polynesia;3;NA;NA;NA;NA;3;2020-03-17T14:06:00Z
Gibraltar;3;NA;NA;NA;1;2;2020-03-17T14:06:00Z
St. Barth;3;NA;NA;NA;NA;3;2020-03-17T14:06:00Z
Liberia;2;1;NA;NA;NA;2;2020-03-17T14:06:00Z
Namibia;2;NA;NA;NA;NA;2;2020-03-17T14:06:00Z
Saint Lucia;2;NA;NA;NA;NA;2;2020-03-17T14:06:00Z
Saint Martin;2;NA;NA;NA;NA;2;2020-03-17T14:06:00Z
U.S. Virgin Islands;2;1;NA;NA;NA;2;2020-03-17T14:06:00Z
Cayman Islands;1;NA;1;NA;NA;0;2020-03-17T14:06:00Z
Sudan;1;NA;1;NA;NA;0;2020-03-17T14:06:00Z
Nepal;1;NA;NA;NA;1;0;2020-03-17T14:06:00Z
Antigua and Barbuda;1;NA;NA;NA;NA;1;2020-03-17T14:06:00Z
Bahamas;1;NA;NA;NA;NA;1;2020-03-17T14:06:00Z
Benin;1;NA;NA;NA;NA;1;2020-03-17T14:06:00Z
Bhutan;1;NA;NA;NA;NA;1;2020-03-17T14:06:00Z
CAR;1;NA;NA;NA;NA;1;2020-03-17T14:06:00Z
Congo;1;NA;NA;NA;NA;1;2020-03-17T14:06:00Z
Equatorial Guinea;1;NA;NA;NA;NA;1;2020-03-17T14:06:00Z
Gabon;1;NA;NA;NA;NA;1;2020-03-17T14:06:00Z
Greenland;1;NA;NA;NA;NA;1;2020-03-17T14:06:00Z
Guinea;1;NA;NA;NA;NA;1;2020-03-17T14:06:00Z
Vatican City;1;NA;NA;NA;NA;1;2020-03-17T14:06:00Z
Mauritania;1;NA;NA;NA;NA;1;2020-03-17T14:06:00Z
Mayotte;1;NA;NA;NA;NA;1;2020-03-17T14:06:00Z
St. Vincent Grenadines;1;NA;NA;NA;NA;1;2020-03-17T14:06:00Z
Somalia;1;NA;NA;NA;NA;1;2020-03-17T14:06:00Z
Suriname;1;NA;NA;NA;NA;1;2020-03-17T14:06:00Z
Eswatini;1;NA;NA;NA;NA;1;2020-03-17T14:06:00Z
Tanzania;1;NA;NA;NA;NA;1;2020-03-17T14:06:00Z
Togo;1;NA;NA;NA;NA;1;2020-03-17T14:06:00Z
China;80881;21;3226;13;68715;8940;2020-03-17T15:15:00Z
Italy;27980;NA;2158;NA;2749;23073;2020-03-17T15:15:00Z
Iran;16169;NA;988;135;5389;9792;2020-03-17T15:15:00Z
Spain;11409;NA;509;167;1028;9872;2020-03-17T15:15:00Z
S. Korea;8320;84;81;6;1401;6838;2020-03-17T15:15:00Z
Germany;8084;812;20;3;67;7997;2020-03-17T15:15:00Z
France;6633;NA;148;NA;12;6473;2020-03-17T15:15:00Z
USA;5243;580;94;8;74;5075;2020-03-17T15:15:00Z
Switzerland;2674;321;21;2;4;2649;2020-03-17T15:15:00Z
UK;1950;407;56;1;52;1842;2020-03-17T15:15:00Z
Netherlands;1705;292;43;19;2;1660;2020-03-17T15:15:00Z
Norway;1438;90;3;NA;1;1434;2020-03-17T15:15:00Z
Austria;1332;314;4;1;8;1320;2020-03-17T15:15:00Z
Belgium;1243;185;10;NA;14;1219;2020-03-17T15:15:00Z
Sweden;1190;69;7;NA;1;1182;2020-03-17T15:15:00Z
Denmark;960;46;4;NA;1;955;2020-03-17T15:15:00Z
Japan;876;43;28;NA;144;704;2020-03-17T15:15:00Z
Diamond Princess;696;NA;7;NA;456;233;2020-03-17T15:15:00Z
Malaysia;673;107;2;2;49;622;2020-03-17T15:15:00Z
Australia;452;51;5;NA;27;420;2020-03-17T15:15:00Z
Portugal;448;117;1;NA;3;444;2020-03-17T15:15:00Z
Canada;440;NA;4;NA;11;425;2020-03-17T15:15:00Z
Qatar;439;NA;NA;NA;4;435;2020-03-17T15:15:00Z
Czechia;396;52;NA;NA;3;393;2020-03-17T15:15:00Z
Greece;352;NA;4;NA;10;338;2020-03-17T15:15:00Z
Israel;324;26;NA;NA;11;313;2020-03-17T15:15:00Z
Finland;322;44;NA;NA;10;312;2020-03-17T15:15:00Z
Brazil;301;67;1;1;2;298;2020-03-17T15:15:00Z
Slovenia;273;20;1;NA;NA;272;2020-03-17T15:15:00Z
Singapore;266;23;NA;NA;114;152;2020-03-17T15:15:00Z
Bahrain;237;9;1;NA;81;155;2020-03-17T15:15:00Z
Pakistan;236;52;1;NA;2;233;2020-03-17T15:15:00Z
Estonia;225;20;NA;NA;1;224;2020-03-17T15:15:00Z
Ireland;223;NA;2;NA;5;216;2020-03-17T15:15:00Z
Poland;221;44;5;1;NA;216;2020-03-17T15:15:00Z
Iceland;220;21;1;1;5;214;2020-03-17T15:15:00Z
Chile;201;45;NA;NA;NA;201;2020-03-17T15:15:00Z
Philippines;187;45;12;NA;5;170;2020-03-17T15:15:00Z
Romania;184;16;NA;NA;16;168;2020-03-17T15:15:00Z
Thailand;177;30;1;NA;41;135;2020-03-17T15:15:00Z
Indonesia;172;38;5;NA;8;159;2020-03-17T15:15:00Z
Egypt;169;3;4;NA;32;133;2020-03-17T15:15:00Z
Hong Kong;162;7;4;NA;81;77;2020-03-17T15:15:00Z
Iraq;154;21;11;1;41;102;2020-03-17T15:15:00Z
Luxembourg;140;59;1;NA;NA;139;2020-03-17T15:15:00Z
India;137;8;3;1;14;120;2020-03-17T15:15:00Z
Saudi Arabia;133;NA;NA;NA;6;127;2020-03-17T15:15:00Z
Kuwait;130;7;NA;NA;12;118;2020-03-17T15:15:00Z
Lebanon;120;11;3;NA;4;113;2020-03-17T15:15:00Z
Peru;117;31;NA;NA;1;116;2020-03-17T15:15:00Z
Russia;114;21;NA;NA;8;106;2020-03-17T15:15:00Z
San Marino;102;NA;9;2;4;89;2020-03-17T15:15:00Z
UAE;98;NA;NA;NA;26;72;2020-03-17T15:15:00Z
Slovakia;84;12;NA;NA;NA;84;2020-03-17T15:15:00Z
Mexico;82;29;NA;NA;4;78;2020-03-17T15:15:00Z
Taiwan;77;10;1;NA;20;56;2020-03-17T15:15:00Z
Armenia;72;20;NA;NA;1;71;2020-03-17T15:15:00Z
Panama;69;NA;1;NA;NA;68;2020-03-17T15:15:00Z
Argentina;68;3;2;NA;3;63;2020-03-17T15:15:00Z
Bulgaria;67;5;2;NA;NA;65;2020-03-17T15:15:00Z
Vietnam;66;5;NA;NA;16;50;2020-03-17T15:15:00Z
Croatia;65;8;NA;NA;4;61;2020-03-17T15:15:00Z
Colombia;65;11;NA;NA;1;64;2020-03-17T15:15:00Z
Serbia;65;8;NA;NA;1;64;2020-03-17T15:15:00Z
South Africa;62;NA;NA;NA;NA;62;2020-03-17T15:15:00Z
Algeria;60;NA;5;1;10;45;2020-03-17T15:15:00Z
Latvia;60;26;NA;NA;1;59;2020-03-17T15:15:00Z
Ecuador;58;NA;2;NA;NA;56;2020-03-17T15:15:00Z
Brunei;56;2;NA;NA;NA;56;2020-03-17T15:15:00Z
Albania;55;4;1;NA;NA;54;2020-03-17T15:15:00Z
Hungary;50;11;1;NA;2;47;2020-03-17T15:15:00Z
Faeroe Islands;47;29;NA;NA;NA;47;2020-03-17T15:15:00Z
Turkey;47;NA;NA;NA;NA;47;2020-03-17T15:15:00Z
Cyprus;46;NA;NA;NA;NA;46;2020-03-17T15:15:00Z
Sri Lanka;44;16;NA;NA;1;43;2020-03-17T15:15:00Z
Costa Rica;41;NA;NA;NA;NA;41;2020-03-17T15:15:00Z
Palestine;41;2;NA;NA;NA;41;2020-03-17T15:15:00Z
Morocco;38;1;2;1;1;35;2020-03-17T15:15:00Z
Malta;38;8;NA;NA;2;36;2020-03-17T15:15:00Z
Belarus;36;NA;NA;NA;3;33;2020-03-17T15:15:00Z
Jordan;35;6;NA;NA;1;34;2020-03-17T15:15:00Z
Georgia;34;1;NA;NA;1;33;2020-03-17T15:15:00Z
Cambodia;33;21;NA;NA;1;32;2020-03-17T15:15:00Z
Kazakhstan;33;23;NA;NA;NA;33;2020-03-17T15:15:00Z
Venezuela;33;16;NA;NA;NA;33;2020-03-17T15:15:00Z
Moldova;30;1;NA;NA;1;29;2020-03-17T15:15:00Z
Uruguay;29;NA;NA;NA;NA;29;2020-03-17T15:15:00Z
Azerbaijan;28;3;1;NA;6;21;2020-03-17T15:15:00Z
Senegal;27;NA;NA;NA;2;25;2020-03-17T15:15:00Z
Bosnia and Herzegovina;27;2;NA;NA;2;25;2020-03-17T15:15:00Z
North Macedonia;26;2;NA;NA;1;25;2020-03-17T15:15:00Z
Oman;24;NA;NA;NA;12;12;2020-03-17T15:15:00Z
Tunisia;24;NA;NA;NA;1;23;2020-03-17T15:15:00Z
Afghanistan;22;1;NA;NA;1;21;2020-03-17T15:15:00Z
Dominican Republic;21;NA;1;NA;NA;20;2020-03-17T15:15:00Z
Lithuania;21;3;NA;NA;1;20;2020-03-17T15:15:00Z
Andorra;16;2;NA;NA;1;15;2020-03-17T15:15:00Z
Martinique;15;NA;1;NA;NA;14;2020-03-17T15:15:00Z
Burkina Faso;15;NA;NA;NA;NA;15;2020-03-17T15:15:00Z
Macao;13;1;NA;NA;10;3;2020-03-17T15:15:00Z
Maldives;13;NA;NA;NA;NA;13;2020-03-17T15:15:00Z
New Zealand;12;4;NA;NA;NA;12;2020-03-17T15:15:00Z
Jamaica;12;NA;NA;NA;2;10;2020-03-17T15:15:00Z
Bolivia;11;NA;NA;NA;NA;11;2020-03-17T15:15:00Z
French Guiana;11;NA;NA;NA;NA;11;2020-03-17T15:15:00Z
Uzbekistan;11;3;NA;NA;NA;11;2020-03-17T15:15:00Z
Bangladesh;10;2;NA;NA;3;7;2020-03-17T15:15:00Z
Cameroon;10;5;NA;NA;NA;10;2020-03-17T15:15:00Z
Monaco;9;NA;NA;NA;NA;9;2020-03-17T15:15:00Z
Paraguay;9;1;NA;NA;NA;9;2020-03-17T15:15:00Z
Réunion;9;NA;NA;NA;NA;9;2020-03-17T15:15:00Z
Guatemala;8;NA;1;NA;NA;7;2020-03-17T15:15:00Z
Honduras;8;2;NA;NA;NA;8;2020-03-17T15:15:00Z
Guyana;7;NA;1;NA;NA;6;2020-03-17T15:15:00Z
Ukraine;7;NA;1;NA;NA;6;2020-03-17T15:15:00Z
Liechtenstein;7;NA;NA;NA;NA;7;2020-03-17T15:15:00Z
Rwanda;7;NA;NA;NA;NA;7;2020-03-17T15:15:00Z
Channel Islands;6;NA;NA;NA;NA;6;2020-03-17T15:15:00Z
Ghana;6;NA;NA;NA;NA;6;2020-03-17T15:15:00Z
Guadeloupe;6;NA;NA;NA;NA;6;2020-03-17T15:15:00Z
Cuba;5;1;NA;NA;NA;5;2020-03-17T15:15:00Z
Ethiopia;5;NA;NA;NA;NA;5;2020-03-17T15:15:00Z
Guam;5;2;NA;NA;NA;5;2020-03-17T15:15:00Z
Mongolia;5;1;NA;NA;NA;5;2020-03-17T15:15:00Z
Puerto Rico;5;NA;NA;NA;NA;5;2020-03-17T15:15:00Z
Trinidad and Tobago;5;1;NA;NA;NA;5;2020-03-17T15:15:00Z
Ivory Coast;4;NA;NA;NA;NA;4;2020-03-17T15:15:00Z
Kenya;4;1;NA;NA;NA;4;2020-03-17T15:15:00Z
Seychelles;4;1;NA;NA;NA;4;2020-03-17T15:15:00Z
Nigeria;3;1;NA;NA;1;2;2020-03-17T15:15:00Z
Aruba;3;1;NA;NA;NA;3;2020-03-17T15:15:00Z
Curaçao;3;1;NA;NA;NA;3;2020-03-17T15:15:00Z
DRC;3;NA;NA;NA;NA;3;2020-03-17T15:15:00Z
French Polynesia;3;NA;NA;NA;NA;3;2020-03-17T15:15:00Z
Gibraltar;3;NA;NA;NA;1;2;2020-03-17T15:15:00Z
St. Barth;3;NA;NA;NA;NA;3;2020-03-17T15:15:00Z
Barbados;2;2;NA;NA;NA;2;2020-03-17T15:15:00Z
Liberia;2;1;NA;NA;NA;2;2020-03-17T15:15:00Z
Namibia;2;NA;NA;NA;NA;2;2020-03-17T15:15:00Z
Saint Lucia;2;NA;NA;NA;NA;2;2020-03-17T15:15:00Z
Saint Martin;2;NA;NA;NA;NA;2;2020-03-17T15:15:00Z
U.S. Virgin Islands;2;1;NA;NA;NA;2;2020-03-17T15:15:00Z
Cayman Islands;1;NA;1;NA;NA;0;2020-03-17T15:15:00Z
Sudan;1;NA;1;NA;NA;0;2020-03-17T15:15:00Z
Nepal;1;NA;NA;NA;1;0;2020-03-17T15:15:00Z
Antigua and Barbuda;1;NA;NA;NA;NA;1;2020-03-17T15:15:00Z
Bahamas;1;NA;NA;NA;NA;1;2020-03-17T15:15:00Z
Benin;1;NA;NA;NA;NA;1;2020-03-17T15:15:00Z
Bhutan;1;NA;NA;NA;NA;1;2020-03-17T15:15:00Z
CAR;1;NA;NA;NA;NA;1;2020-03-17T15:15:00Z
Congo;1;NA;NA;NA;NA;1;2020-03-17T15:15:00Z
Equatorial Guinea;1;NA;NA;NA;NA;1;2020-03-17T15:15:00Z
Gabon;1;NA;NA;NA;NA;1;2020-03-17T15:15:00Z
Greenland;1;NA;NA;NA;NA;1;2020-03-17T15:15:00Z
Guinea;1;NA;NA;NA;NA;1;2020-03-17T15:15:00Z
Vatican City;1;NA;NA;NA;NA;1;2020-03-17T15:15:00Z
Mauritania;1;NA;NA;NA;NA;1;2020-03-17T15:15:00Z
Mayotte;1;NA;NA;NA;NA;1;2020-03-17T15:15:00Z
St. Vincent Grenadines;1;NA;NA;NA;NA;1;2020-03-17T15:15:00Z
Somalia;1;NA;NA;NA;NA;1;2020-03-17T15:15:00Z
Suriname;1;NA;NA;NA;NA;1;2020-03-17T15:15:00Z
Eswatini;1;NA;NA;NA;NA;1;2020-03-17T15:15:00Z
Tanzania;1;NA;NA;NA;NA;1;2020-03-17T15:15:00Z
Togo;1;NA;NA;NA;NA;1;2020-03-17T15:15:00Z
China;80881;21;3226;13;68715;8940;2020-03-17T16:07:00Z
Italy;27980;NA;2158;NA;2749;23073;2020-03-17T16:07:00Z
Iran;16169;NA;988;135;5389;9792;2020-03-17T16:07:00Z
Spain;11409;NA;510;168;1028;9871;2020-03-17T16:07:00Z
Germany;8588;NA;23;6;67;8498;2020-03-17T16:07:00Z
S. Korea;8320;84;81;6;1401;6838;2020-03-17T16:07:00Z
France;6633;NA;148;NA;12;6473;2020-03-17T16:07:00Z
USA;5263;600;94;8;74;5095;2020-03-17T16:07:00Z
Switzerland;2742;389;27;8;15;2700;2020-03-17T16:07:00Z
UK;1950;407;56;1;52;1842;2020-03-17T16:07:00Z
Netherlands;1705;292;43;19;2;1660;2020-03-17T16:07:00Z
Norway;1442;94;3;NA;1;1438;2020-03-17T16:07:00Z
Austria;1332;314;4;1;8;1320;2020-03-17T16:07:00Z
Belgium;1243;185;10;NA;14;1219;2020-03-17T16:07:00Z
Sweden;1190;69;7;NA;1;1182;2020-03-17T16:07:00Z
Denmark;960;46;4;NA;1;955;2020-03-17T16:07:00Z
Japan;878;45;29;1;144;705;2020-03-17T16:07:00Z
Diamond Princess;696;NA;7;NA;456;233;2020-03-17T16:07:00Z
Malaysia;673;107;2;2;49;622;2020-03-17T16:07:00Z
Australia;452;51;5;NA;27;420;2020-03-17T16:07:00Z
Canada;449;8;5;1;11;433;2020-03-17T16:07:00Z
Portugal;448;117;1;NA;3;444;2020-03-17T16:07:00Z
Qatar;439;NA;NA;NA;4;435;2020-03-17T16:07:00Z
Czechia;396;52;NA;NA;3;393;2020-03-17T16:07:00Z
Greece;352;NA;4;NA;10;338;2020-03-17T16:07:00Z
Israel;324;26;NA;NA;11;313;2020-03-17T16:07:00Z
Finland;322;44;NA;NA;10;312;2020-03-17T16:07:00Z
Brazil;301;67;1;1;2;298;2020-03-17T16:07:00Z
Slovenia;275;22;1;NA;NA;274;2020-03-17T16:07:00Z
Singapore;266;23;NA;NA;114;152;2020-03-17T16:07:00Z
Bahrain;237;9;1;NA;81;155;2020-03-17T16:07:00Z
Pakistan;236;52;1;NA;2;233;2020-03-17T16:07:00Z
Iceland;225;26;1;1;5;219;2020-03-17T16:07:00Z
Estonia;225;20;NA;NA;1;224;2020-03-17T16:07:00Z
Ireland;223;NA;2;NA;5;216;2020-03-17T16:07:00Z
Romania;222;54;NA;NA;19;203;2020-03-17T16:07:00Z
Poland;221;44;5;1;NA;216;2020-03-17T16:07:00Z
Chile;201;45;NA;NA;NA;201;2020-03-17T16:07:00Z
Philippines;187;45;12;NA;5;170;2020-03-17T16:07:00Z
Thailand;177;30;1;NA;41;135;2020-03-17T16:07:00Z
Indonesia;172;38;5;NA;8;159;2020-03-17T16:07:00Z
Egypt;169;3;4;NA;32;133;2020-03-17T16:07:00Z
Hong Kong;162;7;4;NA;81;77;2020-03-17T16:07:00Z
Iraq;154;21;11;1;41;102;2020-03-17T16:07:00Z
India;142;13;3;1;14;125;2020-03-17T16:07:00Z
Luxembourg;140;59;1;NA;NA;139;2020-03-17T16:07:00Z
Saudi Arabia;133;NA;NA;NA;6;127;2020-03-17T16:07:00Z
Kuwait;130;7;NA;NA;12;118;2020-03-17T16:07:00Z
Lebanon;120;11;3;NA;4;113;2020-03-17T16:07:00Z
Peru;117;31;NA;NA;1;116;2020-03-17T16:07:00Z
Russia;114;21;NA;NA;8;106;2020-03-17T16:07:00Z
Ecuador;111;53;2;NA;NA;109;2020-03-17T16:07:00Z
San Marino;102;NA;9;2;4;89;2020-03-17T16:07:00Z
UAE;98;NA;NA;NA;26;72;2020-03-17T16:07:00Z
Slovakia;84;12;NA;NA;NA;84;2020-03-17T16:07:00Z
Mexico;82;29;NA;NA;4;78;2020-03-17T16:07:00Z
Bulgaria;81;19;2;NA;NA;79;2020-03-17T16:07:00Z
Taiwan;77;10;1;NA;20;56;2020-03-17T16:07:00Z
Armenia;72;20;NA;NA;1;71;2020-03-17T16:07:00Z
Panama;69;NA;1;NA;NA;68;2020-03-17T16:07:00Z
Argentina;68;3;2;NA;3;63;2020-03-17T16:07:00Z
Vietnam;66;5;NA;NA;16;50;2020-03-17T16:07:00Z
Croatia;65;8;NA;NA;5;60;2020-03-17T16:07:00Z
Colombia;65;11;NA;NA;1;64;2020-03-17T16:07:00Z
Serbia;65;8;NA;NA;1;64;2020-03-17T16:07:00Z
South Africa;62;NA;NA;NA;NA;62;2020-03-17T16:07:00Z
Algeria;60;NA;5;1;10;45;2020-03-17T16:07:00Z
Latvia;60;26;NA;NA;1;59;2020-03-17T16:07:00Z
Brunei;56;2;NA;NA;NA;56;2020-03-17T16:07:00Z
Albania;55;4;1;NA;NA;54;2020-03-17T16:07:00Z
